msVCProj.network, 5028, 1403, 3018, 26, 26, 0, 0, 0, 0, 26
msVCProj.gui, 22479, 6536, 9881, 35, 34, 4, 0, 1, 3, 31
msVCProj.msVCInc, 57363, 10615, 4196, 35, 35, 0, 0, 0, 0, 35
msVCProj.apacheOther, 60930, 13885, 36291, 48, 25, 26, 0, 23, 3, 22
msVCProj.core, 41942, 12202, 24746, 75, 70, 13, 0, 5, 8, 62
